x,y,cars_received
7,7,4
4,2,4
3,5,12
7,2,12
0,1,3
5,5,3
8,7,8
5,0,4
7,0,12
7,1,12
9,8,4
4,8,4
6,9,4
6,1,8
8,4,4
4,5,8
3,0,8
7,3,4
9,6,8
1,6,6
6,4,8
1,3,3
8,1,12
1,4,7
1,7,7
6,2,8
1,8,8
2,8,4
3,2,4
6,0,8
2,5,7
4,6,8
9,5,4
0,5,8
8,6,8
8,0,12
2,4,4
4,1,8
4,9,4
5,1,4
8,5,4
0,3,3
3,1,8
0,4,3
5,4,4
7,6,8
2,2,4
5,9,4
6,5,4
2,6,11
0,2,8
9,1,4
3,4,4
3,7,8
