x,y,detection_count
7,7,1
4,2,1
3,5,3
7,2,3
0,1,2
5,5,2
8,7,2
5,0,1
7,0,3
7,1,3
9,8,1
4,8,1
6,9,1
6,1,2
8,4,1
4,5,2
3,0,2
7,3,1
9,6,2
1,6,4
6,4,2
1,3,2
8,1,3
1,4,3
1,7,3
6,2,2
1,8,2
2,8,1
3,2,1
6,0,2
2,5,3
4,6,2
9,5,1
0,5,2
8,6,2
8,0,3
2,4,1
4,1,2
4,9,1
5,1,1
8,5,1
0,3,2
3,1,2
0,4,2
5,4,1
7,6,2
2,2,1
5,9,1
6,5,1
2,6,4
0,2,2
9,1,1
3,4,1
3,7,2
