x,y,detection_count
9,1,2
1,6,2
5,5,1
3,0,2
4,6,2
1,8,3
9,4,2
1,0,2
6,2,1
7,8,2
5,6,2
9,2,2
4,4,1
5,7,2
8,1,2
2,7,1
7,5,2
6,8,2
0,6,1
0,8,2
5,4,1
6,4,2
1,9,1
1,1,3
3,7,2
4,5,1
3,1,3
4,2,3
1,7,2
6,0,1
4,1,3
8,5,3
5,0,1
7,4,3
9,7,1
3,8,2
9,0,1
0,9,1
1,2,2
0,3,1
4,0,2
8,4,3
8,9,1
9,6,2
8,8,2
2,2,3
5,2,1
2,6,1
7,2,2
7,1,1
5,8,1
9,5,2
4,7,2
8,6,4
8,3,2
0,1,2
