x,y,detection_count
6,9,2
8,7,4
0,6,1
4,2,1
7,5,1
6,8,2
5,1,1
3,2,1
4,5,3
1,6,2
2,6,2
9,6,3
2,8,5
1,7,4
3,7,2
2,3,1
7,7,2
7,8,2
9,5,3
4,9,4
5,9,3
5,4,1
1,8,5
3,8,5
9,7,3
4,7,1
0,7,3
9,1,1
4,6,1
0,8,4
3,1,1
2,4,2
0,9,3
7,2,1
8,3,2
8,1,1
8,9,1
3,6,2
