car_id,intelligence_score
0,125390
1,126244
2,125522
3,127797
4,127911
5,129074
6,124562
7,125420
8,128193
9,123967
10,129794
11,128335
12,129943
13,124885
14,127872
15,124681
16,126541
17,123290
18,123609
19,127921
