x,y,detection_count
9,3,1
4,1,2
9,8,1
0,6,3
2,6,4
1,0,1
5,2,1
9,4,2
2,0,1
9,5,2
9,6,1
1,4,4
8,9,1
5,8,3
6,9,1
0,7,2
0,4,2
1,7,4
5,1,2
1,1,1
0,8,2
3,5,3
7,8,1
2,8,3
4,2,3
7,9,1
1,3,3
3,4,4
8,8,1
8,3,1
3,8,3
4,8,3
5,7,2
2,2,2
4,9,2
3,3,4
0,5,2
0,2,1
0,9,1
9,9,1
4,0,2
5,9,2
2,3,4
1,6,5
2,7,4
3,2,3
1,5,5
