x,y,detection_count
8,5,3
9,0,1
7,8,2
7,1,3
3,9,2
8,2,1
1,3,1
0,4,1
4,7,3
2,0,2
0,2,1
5,1,1
5,7,1
8,3,2
1,4,1
1,7,1
0,9,3
8,0,1
8,8,2
0,3,1
4,6,2
4,2,1
0,1,1
9,2,1
1,5,1
7,7,2
0,0,1
6,2,1
6,4,1
9,4,2
5,2,1
7,2,2
7,4,2
3,8,2
5,9,1
4,5,2
8,6,4
8,4,3
4,8,2
1,0,1
3,2,1
9,1,2
6,3,1
8,1,2
2,8,4
1,2,1
5,8,1
9,8,2
2,7,2
4,9,2
3,6,1
4,1,2
0,8,3
