x,y,detection_count
1,8,4
2,2,2
7,3,1
9,6,3
0,5,1
7,4,1
3,6,3
9,8,2
4,5,1
4,3,2
5,1,1
2,8,3
4,8,1
9,9,1
5,7,1
1,9,3
2,1,2
8,4,2
3,8,3
7,7,1
0,7,3
8,1,1
6,4,1
7,8,1
9,5,2
2,5,3
4,9,1
6,5,1
2,6,3
8,3,1
1,5,3
1,6,4
9,7,2
0,1,2
9,0,1
8,0,1
0,8,2
9,4,1
4,4,1
4,6,1
4,2,3
9,1,1
5,9,1
3,5,3
1,2,1
1,1,2
8,7,2
1,0,2
3,7,5
3,0,1
2,7,5
7,5,1
5,2,1
3,2,3
8,8,2
3,4,2
