x,y,cars_received
4,1,20
5,7,20
6,7,20
9,9,20
4,7,19
9,3,19
3,3,19
1,4,19
5,8,19
6,5,19
3,8,19
9,1,19
8,8,19
7,1,18
2,5,18
7,3,18
4,0,18
4,2,13
7,8,13
8,1,12
7,5,11
7,7,10
7,9,9
9,8,8
2,0,8
4,5,7
6,6,7
0,8,7
2,4,7
3,7,6
5,2,6
0,3,6
5,1,6
9,4,6
3,2,6
2,2,5
4,6,5
8,7,5
0,2,3
4,8,3
0,9,3
8,9,3
9,5,2
4,9,2
3,5,2
7,0,2
1,8,1
